"","Model","Dist","AIC","LogLik","Params","DeltaAIC","Weights","AICc"
"421","k_12/k_13/k_14/k_23 Inteference","Negative Binomial",47.7085428891999,-13.8542714445999,10,5.13969126823031,0.007,49.1752095558665
"26","k_12/k_14/k_23 Inteference","Poisson",48.2597631194983,-16.1298815597492,8,5.69091149852875,0.005,49.2071315405509
"341","k_13/k_14/k_34 Inteference","Negative Binomial",48.0333330543181,-15.016666527159,9,5.46448143334851,0.006,49.2253860344505
"29","k_12/k_23/k_24 Inteference","Poisson",48.2792076172088,-16.1396038086044,8,5.71035599623929,0.005,49.2265760382615
"51","k_12/k_23/k_24/k_34 Inteference","Poisson",48.0707175287039,-15.0353587643519,9,5.50186590773433,0.006,49.2627705088363
"521","k_13/k_14/k_23/k_24 Inteference","Negative Binomial",47.8024151660786,-13.9012075830393,10,5.23356354510906,0.006,49.2690818327453
"58","k_12/k_13/k_14/k_23/k_34 Inteference","Poisson",47.8069638368474,-13.9034819184237,10,5.23811221587789,0.006,49.2736305035141
"19","k_23/k_24 Inteference","Poisson",48.5730399769218,-17.2865199884609,7,6.00418835595224,0.004,49.3050661207126
"16","k_14/k_23 Inteference","Poisson",48.5733386236946,-17.2866693118473,7,6.004487002725,0.004,49.3053647674854
"62","k_13/k_14/k_23/k_24/k_34 Inteference","Poisson",47.8491174265052,-13.9245587132526,10,5.28026580553569,0.006,49.3157840931719
"39","k_14/k_23/k_34 Inteference","Poisson",48.4532704037345,-16.2266352018672,8,5.8844187827649,0.005,49.4006388247871
"531","k_13/k_14/k_23/k_34 Inteference","Negative Binomial",47.9346705801838,-13.9673352900919,10,5.36581895921427,0.006,49.4013372468505
"54","k_13/k_14/k_24/k_34 Inteference","Poisson",48.2137967299868,-15.1068983649934,9,5.64494510901727,0.005,49.4058497101193
"201","k_23/k_34 Inteference","Negative Binomial",48.4816504673315,-16.2408252336658,8,5.91279884636197,0.004,49.4290188883841
"351","k_13/k_23/k_24 Inteference","Negative Binomial",48.244347019775,-15.1221735098875,9,5.67549539880542,0.005,49.4363999999074
"49","k_12/k_14/k_23/k_34 Inteference","Poisson",48.2727306860772,-15.1363653430386,9,5.70387906510769,0.005,49.4647836662097
"281","k_12/k_14/k_34 Inteference","Negative Binomial",48.277354416249,-15.1386772081245,9,5.7085027952794,0.005,49.4694073963814
"28","k_12/k_14/k_34 Inteference","Poisson",48.5741371713473,-16.2870685856736,8,6.00528555037772,0.004,49.5215055923999
"59","k_12/k_13/k_14/k_24/k_34 Inteference","Poisson",48.0646798837092,-14.0323399418546,10,5.49582826273968,0.006,49.5313465503759
"41","k_23/k_24/k_34 Inteference","Poisson",48.7231210007726,-16.3615605003863,8,6.15426937980305,0.004,49.6704894218252
"291","k_12/k_23/k_24 Inteference","Negative Binomial",48.5491580174385,-15.2745790087192,9,5.9803063964689,0.004,49.7412109975709
"481","k_12/k_14/k_23/k_24 Inteference","Negative Binomial",48.281848468029,-14.1409242340145,10,5.71299684705946,0.005,49.7485151346957
"361","k_13/k_23/k_34 Inteference","Negative Binomial",48.5996407476225,-15.2998203738113,9,6.03078912665296,0.004,49.791693727755
"131","k_13/k_23 Inteference","Negative Binomial",48.8576446418849,-16.4288223209425,8,6.28879302091536,0.004,49.8050130629375
"211","k_24/k_34 Inteference","Negative Binomial",48.8803700183582,-16.4401850091791,8,6.31151839738868,0.004,49.8277384394109
"111","k_12/k_34 Inteference","Negative Binomial",48.9468453340401,-16.47342266702,8,6.37799371307051,0.004,49.8942137550927
"231","k_12/k_13/k_23 Inteference","Negative Binomial",48.7065701532365,-15.3532850766182,9,6.13771853226694,0.004,49.898623133369
"491","k_12/k_14/k_23/k_34 Inteference","Negative Binomial",48.4629825720258,-14.2314912860129,10,5.89413095105624,0.005,49.9296492386925
"401","k_14/k_24/k_34 Inteference","Negative Binomial",48.7509873505796,-15.3754936752898,9,6.18213572961008,0.004,49.9430403307121
"57","k_12/k_13/k_14/k_23/k_24 Inteference","Poisson",48.485579066245,-14.2427895331225,10,5.91672744527546,0.004,49.9522457329117
"101","k_12/k_24 Inteference","Negative Binomial",49.1022643836341,-16.551132191817,8,6.53341276266451,0.003,50.0496328046867
"63","k_34 Inteference","Negative Binomial",49.3419853160685,-17.6709926580343,7,6.77313369509898,0.003,50.0740114598594
"221","k_12/k_13/k_14 Inteference","Negative Binomial",48.9382051405855,-15.4691025702928,9,6.36935351961597,0.004,50.130258120718
"561","k_14/k_23/k_24/k_34 Inteference","Negative Binomial",48.932738688582,-14.466369344291,10,6.3638870676125,0.004,50.3994053552487
"312","Complete Interference","Poisson",48.6511002398672,-13.3255501199336,11,6.08224861889767,0.004,50.4229123204041
"411","k_23/k_24/k_34 Inteference","Negative Binomial",49.2633261370961,-15.6316630685481,9,6.69447451612655,0.003,50.4553791172286
"301","k_12/k_23/k_34 Inteference","Negative Binomial",49.3014588731335,-15.6507294365667,9,6.73260725216392,0.003,50.4935118532659
"151","k_13/k_34 Inteference","Negative Binomial",49.7638177018455,-16.8819088509227,8,7.19496608087593,0.002,50.7111861228981
"551","k_13/k_23/k_24/k_34 Inteference","Negative Binomial",49.3706466502756,-14.6853233251378,10,6.80179502930605,0.003,50.8373133169423
"27","k_12/k_14/k_24 Inteference","Poisson",49.9081930090806,-16.9540965045403,8,7.33934138811105,0.002,50.8555614301332
"212","Independent","Negative Binomial",50.3435193069431,-19.1717596534716,6,7.77466768597355,0.002,50.8889738523977
"50","k_12/k_14/k_24/k_34 Inteference","Poisson",49.7181068454736,-15.8590534227368,9,7.14925522450403,0.002,50.910159825606
"501","k_12/k_14/k_24/k_34 Inteference","Negative Binomial",49.5110276614619,-14.7555138307309,10,6.94217604049231,0.003,50.9776943281285
"5","k_24 Inteference","Poisson",50.4384013466297,-19.2192006733148,6,7.86954972566014,0.002,50.9838558920842
"18","k_14/k_34 Inteference","Poisson",50.2759520682007,-18.1379760341003,7,7.70710044723114,0.002,51.0079782119915
"21","k_24/k_34 Inteference","Poisson",50.3696939737481,-18.184846986874,7,7.80084235277855,0.002,51.1017201175389
"3","k_14 Inteference","Poisson",50.5802045363916,-19.2901022681958,6,8.01135291542209,0.002,51.1256590818462
"48","k_12/k_14/k_23/k_24 Inteference","Poisson",50.107034742553,-16.0535173712765,9,7.53818312158342,0.002,51.2990877226854
"541","k_13/k_14/k_24/k_34 Inteference","Negative Binomial",49.8837699056558,-14.9418849528279,10,7.3149182846862,0.002,51.3504365723224
"571","k_12/k_13/k_14/k_23/k_24 Inteference","Negative Binomial",49.6370287625471,-13.8185143812735,11,7.06817714157751,0.003,51.408840843084
"38","k_14/k_23/k_24 Inteference","Poisson",50.4698053488023,-17.2349026744012,8,7.90095372783276,0.002,51.4171737698549
"581","k_12/k_13/k_14/k_23/k_34 Inteference","Negative Binomial",49.6965972076885,-13.8482986038442,11,7.1277455867189,0.002,51.4684092882254
"61","k_12/k_14/k_23/k_24/k_34 Inteference","Poisson",50.0261780136427,-15.0130890068214,10,7.45732639267317,0.002,51.4928446803094
"621","k_13/k_14/k_23/k_24/k_34 Inteference","Negative Binomial",49.8423511763135,-13.9211755881568,11,7.27349955534396,0.002,51.6141632568504
"56","k_14/k_23/k_24/k_34 Inteference","Poisson",50.4531288270257,-16.2265644135128,9,7.88427720605614,0.002,51.6451818071581
"11","k_12/k_34 Inteference","Poisson",50.9563072425583,-18.4781536212791,7,8.38745562158874,0.001,51.6883333863491
"511","k_12/k_23/k_24/k_34 Inteference","Negative Binomial",50.4175743498572,-15.2087871749286,10,7.84872272888765,0.002,51.8842410165239
"611","k_12/k_14/k_23/k_24/k_34 Inteference","Negative Binomial",50.1974072591115,-14.0987036295558,11,7.62855563814196,0.002,51.9692193396484
"311","k_12/k_24/k_34 Inteference","Negative Binomial",50.8595121993421,-16.4297560996711,9,8.29066057837258,0.001,52.0515651794746
"441","k_12/k_13/k_14/k_34 Inteference","Negative Binomial",50.9018633180694,-15.4509316590347,10,8.33301169709989,0.001,52.3685299847361
"431","k_12/k_13/k_14/k_24 Inteference","Negative Binomial",50.9431630897425,-15.4715815448712,10,8.37431146877293,0.001,52.4098297564092
"371","k_13/k_24/k_34 Inteference","Negative Binomial",51.2246189183836,-16.6123094591918,9,8.65576729741406,0.001,52.4166718985161
"251","k_12/k_13/k_34 Inteference","Negative Binomial",51.2885321813465,-16.6442660906732,9,8.7196805603769,0.001,52.4805851614789
"461","k_12/k_13/k_23/k_34 Inteference","Negative Binomial",51.6238008506548,-15.8119004253274,10,9.05494922968523,0.001,53.0904675173215
"40","k_14/k_24/k_34 Inteference","Poisson",52.2308393809292,-18.1154196904646,8,9.66198775995963,0.001,53.1782078019818
"17","k_14/k_24 Inteference","Poisson",52.5281226777529,-19.2640613388764,7,9.95927105678334,0.001,53.2601488215437
"451","k_12/k_13/k_23/k_24 Inteference","Negative Binomial",52.4951284033812,-16.2475642016906,10,9.92627678241161,0.001,53.9617950700478
"412","Complete Interference","Negative Binomial",51.8821755851957,-13.9410877925978,12,9.31332396422613,0.001,53.9902836933038
"591","k_12/k_13/k_14/k_24/k_34 Inteference","Negative Binomial",52.904361137267,-15.4521805686335,11,10.3355095162974,0,54.6761732178039
"12","k_13/k_14 Inteference","Poisson",53.9992246327338,-19.9996123163669,7,11.4303730117642,0,54.7312507765246
"2","k_13 Inteference","Poisson",54.7786349957109,-21.3893174978555,6,12.2097833747414,0,55.3240895411655
"71","k_12/k_13 Inteference","Negative Binomial",54.7167505719754,-19.3583752859877,8,12.1478989510058,0,55.664118993028
"22","k_12/k_13/k_14 Inteference","Poisson",55.4035206330298,-19.7017603165149,8,12.8346690120602,0,56.3508890540824
"141","k_13/k_24 Inteference","Negative Binomial",56.0459526068389,-20.0229763034195,8,13.4771009858694,0,56.9933210278915
"241","k_12/k_13/k_24 Inteference","Negative Binomial",56.8911222929687,-19.4455611464844,9,14.3222706719991,0,58.0831752731012
"42","k_12/k_13/k_14/k_23 Inteference","Poisson",56.9336288912311,-19.4668144456156,9,14.3647772702616,0,58.1256818713636
"32","k_13/k_14/k_23 Inteference","Poisson",57.9123476392506,-20.9561738196253,8,15.343496018281,0,58.8597160603032
"471","k_12/k_13/k_24/k_34 Inteference","Negative Binomial",58.5754327597326,-19.2877163798663,10,16.0065811387631,0,60.0420994263993
"60","k_12/k_13/k_23/k_24/k_34 Inteference","Poisson",60.0858715027819,-20.0429357513909,10,17.5170198818123,0,61.5525381694485
"601","k_12/k_13/k_23/k_24/k_34 Inteference","Negative Binomial",60.6817504554544,-19.3408752277272,11,18.1128988344849,0,62.4535625359914
