"","Model","Dist","AICc","AIC","DeltaAIC","Params","LogLik"
"39","k_14/k_23/k_34 Interference","Poisson",79.3251381160012,79.253780336021,5.18269681853053,8,-31.6268901680105
"231","k_12/k_13/k_23 Interference","Negative Binomial",79.3471351511105,79.2578937034159,5.18681018592542,9,-30.628946851708
"55","k_13/k_23/k_24/k_34 Interference","Poisson",79.3874025889052,79.2981611412106,5.22707762372011,9,-30.6490805706053
"351","k_13/k_23/k_24 Interference","Negative Binomial",79.4241126695413,79.3348712218467,5.26378770435622,9,-30.6674356109233
"421","k_12/k_13/k_14/k_23 Interference","Negative Binomial",79.6101428032268,79.5010158190998,5.42993230160937,10,-29.7505079095499
"141","k_13/k_24 Interference","Negative Binomial",79.6702699575294,79.5989121775492,5.52782866005873,8,-31.7994560887746
"32","k_13/k_14/k_23 Interference","Poisson",79.676388965036,79.6050311850559,5.53394766756537,8,-31.8025155925279
"40","k_14/k_24/k_34 Interference","Poisson",80.0014451003449,79.9300873203647,5.85900380287421,8,-31.9650436601823
"441","k_12/k_13/k_14/k_34 Interference","Negative Binomial",80.0193713639599,79.9102443798329,5.8391608623424,10,-29.9551221899164
"58","k_12/k_13/k_14/k_23/k_34 Interference","Poisson",80.0339623177567,79.9248353336297,5.85375181613927,10,-29.9624176668149
"471","k_12/k_13/k_24/k_34 Interference","Negative Binomial",80.2090054931357,80.0998785090087,6.02879499151823,10,-30.0499392545044
"521","k_13/k_14/k_23/k_24 Interference","Negative Binomial",80.2239208839599,80.1147938998329,6.0437103823424,10,-30.0573969499164
"57","k_12/k_13/k_14/k_23/k_24 Interference","Poisson",80.2519414908636,80.1428145067366,6.07173098924613,10,-30.0714072533683
"59","k_12/k_13/k_14/k_24/k_34 Interference","Poisson",80.3955181522285,80.2863911681015,6.21530765061107,10,-30.1431955840508
"62","k_13/k_14/k_23/k_24/k_34 Interference","Poisson",80.397396511027,80.2882695269,6.21718600940949,10,-30.14413476345
"53","k_13/k_14/k_23/k_34 Interference","Poisson",80.4599168465973,80.3706753989027,6.2995918814122,9,-31.1853376994513
"4","k_23 Interference","Poisson",80.5624134973164,80.5208293389005,6.44974582141003,6,-34.2604146694503
"20","k_23/k_34 Interference","Poisson",80.5799810819692,80.5245080755303,6.45342455803984,7,-33.2622540377652
"28","k_12/k_14/k_34 Interference","Poisson",80.8873893108071,80.8160315308269,6.7449480133364,8,-32.4080157654134
"541","k_13/k_14/k_24/k_34 Interference","Negative Binomial",80.94324166622,80.8341146820931,6.76303116460258,10,-30.4170573410465
"341","k_13/k_14/k_34 Interference","Negative Binomial",80.949108593966,80.8598671462714,6.78878362878095,9,-31.4299335731357
"45","k_12/k_13/k_23/k_24 Interference","Poisson",80.9856188837546,80.89637743606,6.82529391856951,9,-31.44818871803
"461","k_12/k_13/k_23/k_34 Interference","Negative Binomial",81.0048232167935,80.8956962326665,6.82461271517604,10,-30.4478481163333
"6","k_34 Interference","Poisson",81.1959058906882,81.1543217322724,7.08323821478189,6,-34.5771608661362
"531","k_13/k_14/k_23/k_34 Interference","Negative Binomial",81.2730095188706,81.1638825347436,7.09279901725313,10,-30.5819412673718
"551","k_13/k_23/k_24/k_34 Interference","Negative Binomial",81.3372566873657,81.2281297032387,7.15704618574819,10,-30.6140648516193
"112","Independent","Poisson",81.3456082791211,81.315920005989,7.24483648849855,5,-35.6579600029945
"61","k_12/k_14/k_23/k_24/k_34 Interference","Poisson",81.4338713659051,81.3247443817781,7.25366086428767,10,-30.6623721908891
"201","k_23/k_34 Interference","Negative Binomial",81.4964109119396,81.4250531319594,7.35396961446895,8,-32.7125265659797
"60","k_12/k_13/k_23/k_24/k_34 Interference","Poisson",81.4979752316756,81.3888482475486,7.31776473005812,10,-30.6944241237743
"561","k_14/k_23/k_24/k_34 Interference","Negative Binomial",81.5043260609525,81.3951990768255,7.32411555933504,10,-30.6975995384128
"431","k_12/k_13/k_14/k_24 Interference","Negative Binomial",81.6226360315375,81.5135090474105,7.44242552992,10,-30.7567545237052
"16","k_14/k_23 Interference","Poisson",81.6550104130139,81.5995374065751,7.52845388908463,7,-33.7997687032876
"241","k_12/k_13/k_24 Interference","Negative Binomial",81.6624310568875,81.5731896091929,7.50210609170244,9,-31.7865948045965
"281","k_12/k_14/k_34 Interference","Negative Binomial",81.739408767982,81.6501673202874,7.57908380279696,9,-31.8250836601437
"1","k_12 Interference","Poisson",81.7984875427114,81.7569033842956,7.6858198668051,6,-34.8784516921478
"621","k_13/k_14/k_23/k_24/k_34 Interference","Negative Binomial",81.8315624982674,81.7005451285404,7.62946161104992,11,-29.8502725642702
"49","k_12/k_14/k_23/k_34 Interference","Poisson",81.9565735467184,81.8673320990238,7.79624858153329,9,-31.9336660495119
"31","k_12/k_24/k_34 Interference","Poisson",82.0062524961181,81.9348947161379,7.86381119864745,8,-32.967447358069
"30","k_12/k_23/k_34 Interference","Poisson",82.0264622171894,81.9551044372092,7.88402091971875,8,-32.9775522186046
"581","k_12/k_13/k_14/k_23/k_34 Interference","Negative Binomial",82.039614913952,81.9085975442249,7.83751402673442,11,-29.9542987721125
"18","k_14/k_34 Interference","Poisson",82.0537034364563,81.9982304300174,7.92714691252695,7,-33.9991152150087
"312","Complete Interference","Poisson",82.0669772295364,81.9359598598094,7.86487634231889,11,-29.9679799299047
"401","k_14/k_24/k_34 Interference","Negative Binomial",82.443481595288,82.3542401475934,8.28315663010289,9,-32.1771200737967
"8","k_12/k_14 Interference","Poisson",82.4470221150506,82.3915491086118,8.32046559112132,7,-34.1957745543059
"591","k_12/k_13/k_14/k_24/k_34 Interference","Negative Binomial",82.5149328810035,82.3839155112764,8.31283199378595,11,-30.1919577556382
"3","k_14 Interference","Poisson",82.5585075095019,82.516923351086,8.44583983359553,6,-35.258461675543
"51","k_12/k_23/k_24/k_34 Interference","Poisson",82.9708912748208,82.8816498271262,8.81056630963576,9,-32.4408249135631
"361","k_13/k_23/k_34 Interference","Negative Binomial",82.9950084518857,82.9057670041911,8.83468348670067,9,-32.4528835020956
"37","k_13/k_24/k_34 Interference","Poisson",83.064464971249,82.9931071912688,8.92202367377831,8,-33.4965535956344
"451","k_12/k_13/k_23/k_24 Interference","Negative Binomial",83.1091072844681,82.9999803003411,8.92889678285064,10,-31.4999901501706
"63","k_34 Interference","Negative Binomial",83.2221033520902,83.1666303456514,9.09554682816088,7,-34.5833151728257
"212","Independent","Negative Binomial",83.2930909412439,83.2515067828281,9.18042326533759,6,-35.625753391414
"601","k_12/k_13/k_23/k_24/k_34 Interference","Negative Binomial",83.4290583661382,83.2980409964111,9.22695747892067,11,-30.6490204982056
"111","k_12/k_34 Interference","Negative Binomial",83.625747921757,83.5543901417768,9.48330662428634,8,-33.7771950708884
"571","k_12/k_13/k_14/k_23/k_24 Interference","Negative Binomial",83.6542660558512,83.5232486861241,9.45216516863366,11,-30.7616243430621
"110","k_12 Interference","Negative Binomial",83.790427511961,83.7349545055222,9.6638709880317,7,-34.8674772527611
"50","k_12/k_14/k_24/k_34 Interference","Poisson",83.7988759865909,83.7096345388964,9.63855102140587,9,-32.8548172694482
"181","k_14/k_34 Interference","Negative Binomial",83.9382358257794,83.8668780457992,9.79579452830876,8,-33.9334390228996
"161","k_14/k_23 Interference","Negative Binomial",83.9394413621162,83.868083582136,9.79700006464554,8,-33.934041791068
"410","k_23 Interference","Negative Binomial",83.9481537905987,83.8926807841599,9.82159726666941,7,-34.9463403920799
"412","Complete Interference","Negative Binomial",84.0084323046783,83.8535167138143,9.78243319632384,12,-29.9267583569072
"91","k_12/k_23 Interference","Negative Binomial",84.120678645661,84.0493208656808,9.97823734819031,8,-34.0246604328404
"81","k_12/k_14 Interference","Negative Binomial",84.3519808677561,84.2806230877759,10.2095395702854,8,-34.1403115438879
"17","k_14/k_24 Interference","Poisson",84.5073682879076,84.4518952814688,10.3808117639783,7,-35.2259476407344
"391","k_14/k_23/k_34 Interference","Negative Binomial",85.0747183803212,84.9854769326266,10.9143934151361,9,-33.4927384663133
"38","k_14/k_23/k_24 Interference","Poisson",85.7593570354734,85.6879992554932,11.6169157380027,8,-34.8439996277466
"501","k_12/k_14/k_24/k_34 Interference","Negative Binomial",85.7671013194702,85.6579743353432,11.5868908178527,10,-32.8289871676716
"27","k_12/k_14/k_24 Interference","Poisson",85.9601962714519,85.8888384914717,11.8177549739812,8,-34.9444192457358
"9","k_12/k_23 Interference","Poisson",86.1268433314355,86.0713703249967,12.0002868075062,7,-36.0356851624983
"171","k_14/k_24 Interference","Negative Binomial",86.3720653964706,86.3007076164904,12.2296240989999,8,-35.1503538082452
"11","k_12/k_34 Interference","Poisson",86.5275260902992,86.4720530838604,12.4009695663699,7,-36.2360265419302
"310","k_14 Interference","Negative Binomial",86.595522323015,86.5400493165762,12.4689657990857,7,-36.2700246582881
"261","k_12/k_14/k_23 Interference","Negative Binomial",86.6469335520594,86.5576921043648,12.4866085868744,9,-34.2788460521824
"611","k_12/k_14/k_23/k_24/k_34 Interference","Negative Binomial",87.0376057789722,86.9065884092452,12.8355048917547,11,-32.4532942046226
"48","k_12/k_14/k_23/k_24 Interference","Poisson",87.37491320799,87.2856717602954,13.2145882428049,9,-34.6428358801477
"381","k_14/k_23/k_24 Interference","Negative Binomial",87.6135237887681,87.5242823410736,13.4531988235831,9,-34.7621411705368
"491","k_12/k_14/k_23/k_34 Interference","Negative Binomial",87.6936979772433,87.5845709931164,13.5134874756259,10,-33.7922854965582
"271","k_12/k_14/k_24 Interference","Negative Binomial",87.8441374592364,87.7548960115419,13.6838124940514,9,-34.8774480057709
